species_name,taxon_id,combine_match,adult_mass_g,adult_mass_g_provenance,dispersal_km,dispersal_km_provenance,habitat_breadth_n,habitat_breadth_n_provenance,det_diet_breadth_n,det_diet_breadth_n_provenance,home_range_km2,home_range_km2_provenance,density_n_km2,density_n_km2_provenance,trophic_level,trophic_level_provenance,dphy_invertebrate,dphy_invertebrate_provenance,dphy_vertebrate,dphy_vertebrate_provenance,dphy_plant,dphy_plant_provenance,det_inv,det_inv_provenance,det_vend,det_vend_provenance,det_vect,det_vect_provenance,det_vfish,det_vfish_provenance,det_vunk,det_vunk_provenance,det_scav,det_scav_provenance,det_fruit,det_fruit_provenance,det_nect,det_nect_provenance,det_seed,det_seed_provenance,det_plantother,det_plantother_provenance,fossoriality,fossoriality_provenance,social_group_n,social_group_n_provenance,activity_cycle,activity_cycle_provenance
Onychomys leucogaster,ONLE,True,32.5,reported,0.161,reported,4.0,reported,1.0,reported,0.02,reported,,missing,2.0,reported,90.0,reported,0.0,reported,10.0,reported,90.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,1.0,reported,,missing,1.0,reported
Onychomys torridus,ONTO,True,22.0,reported,1.002,reported,2.0,reported,1.0,reported,0.01,reported,100.0,reported,3.0,reported,90.0,reported,0.0,reported,10.0,reported,90.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,1.0,reported,2.0,reported,1.0,reported
Oryzomys couesi,ORCO,True,53.26,reported,0.211,reported,1.0,reported,4.0,reported,,missing,200.0,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,20.0,reported,40.0,reported,1.0,imputed,,missing,2.0,reported
Oryzomys palustris,ORPA,True,50.465,reported,0.205,reported,3.0,reported,4.0,reported,0.003,reported,170.0,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,20.0,reported,40.0,reported,1.0,reported,,missing,2.0,reported
Perognathus alticolus,PEAL,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Perognathus amplus,PEAM,True,11.835,reported,0.092,reported,3.0,reported,1.0,reported,,missing,,missing,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Perognathus fasciatus,PEFA,True,11.42,reported,0.091,reported,3.0,reported,1.0,reported,,missing,231.0,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,,missing,1.0,reported
Perognathus flavescens,PEFV,True,9.105,reported,0.08,reported,3.0,reported,1.0,reported,0.0,reported,,missing,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,,missing,1.0,reported
Perognathus flavus,PEFL,True,7.97,reported,0.074,reported,2.0,reported,1.0,reported,0.002,reported,134.0,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,1.0,reported,1.0,reported
Perognathus inornatus,PEIN,True,8.575,reported,0.077,reported,3.0,reported,1.0,reported,0.0,reported,40.0,reported,1.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,,missing,1.0,reported
Perognathus longimembris,PELO,True,8.35,reported,0.076,reported,3.0,reported,1.0,reported,0.002,reported,174.0,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Perognathus merriami,PEMR,True,7.47,reported,0.072,reported,3.0,reported,1.0,reported,0.008,reported,170.0,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,,missing,1.0,reported
Perognathus mollipilosus,PEMO,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Perognathus parvus,PEPA,True,20.1,reported,0.124,reported,5.0,reported,1.0,reported,0.002,reported,8230.0,reported,2.0,reported,10.0,reported,0.0,reported,90.0,reported,10.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,10.0,reported,1.0,reported,1.0,reported,1.0,reported
Peromyscus attwateri,PEAT,True,28.3,reported,0.149,reported,2.0,reported,3.0,reported,0.002,reported,296.52,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus boylii,PEBO,True,23.9,reported,0.136,reported,4.0,reported,3.0,reported,0.003,reported,6550.0,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus californicus,PECA,True,45.5,reported,0.194,reported,2.0,reported,3.0,reported,0.001,reported,3972.23,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus crinitus,PECR,True,16.33,reported,0.11,reported,3.0,reported,3.0,reported,0.003,reported,750.0,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,1.0,reported,1.0,reported
Peromyscus eremicus,PEER,True,21.75,reported,0.129,reported,2.0,reported,3.0,reported,0.002,reported,351.429,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,reported,1.0,reported,1.0,reported
Peromyscus fraterculus,PEFR,True,21.75,reported,0.129,reported,3.0,reported,3.0,imputed,,missing,,missing,2.0,reported,20.0,reported,0.0,reported,80.0,reported,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,2.0,imputed,,missing,1.0,reported
Peromyscus gossypinus,PEGO,True,22.65,reported,0.132,reported,5.0,reported,3.0,reported,0.004,reported,2464.2,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,reported,,missing,1.0,reported
Peromyscus gratus,PEGR,True,27.35,reported,0.146,reported,2.0,reported,3.0,reported,,missing,,missing,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus keeni,PEKE,True,22.05,reported,0.13,reported,3.0,reported,3.0,reported,0.003,reported,1431.364,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus melanotis,PEML,True,21.4,reported,0.128,reported,3.0,reported,3.0,reported,0.001,reported,1733.75,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus merriami,PEME,True,22.0,reported,0.13,reported,1.0,reported,3.0,reported,,missing,,missing,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus nasutus,PENA,True,28.0,reported,0.148,reported,2.0,reported,3.0,reported,,missing,,missing,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus pectoralis,PEPE,True,33.0,reported,0.162,reported,5.0,reported,3.0,reported,0.002,reported,,missing,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,reported,,missing,1.0,reported
Peromyscus polionotus,PEPO,True,14.0,reported,0.101,reported,4.0,reported,3.0,reported,0.003,reported,889.0,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Peromyscus truei,PETR,True,33.0,reported,0.162,reported,2.0,reported,3.0,reported,0.009,reported,300.0,reported,2.0,reported,50.0,reported,10.0,reported,40.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,20.0,reported,0.0,reported,20.0,reported,0.0,reported,2.0,imputed,,missing,1.0,reported
Phenacomys intermedius,PHIN,True,25.2,reported,0.14,reported,3.0,reported,3.0,reported,,missing,1000.0,reported,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,20.0,reported,60.0,reported,1.0,imputed,,missing,2.0,reported
Phenacomys ungava,PHUN,True,27.0,reported,0.145,reported,2.0,reported,3.0,reported,,missing,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,20.0,reported,60.0,reported,1.0,imputed,,missing,2.0,reported
Podomys floridanus,POFL,True,31.025,reported,0.157,reported,4.0,reported,3.0,reported,0.003,reported,,missing,2.0,reported,30.0,reported,0.0,reported,70.0,reported,30.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,40.0,reported,30.0,reported,1.0,reported,,missing,1.0,reported
Rattus exulans,RAEX,True,60.315,reported,0.226,reported,7.0,reported,3.0,reported,0.001,reported,12900.0,reported,2.0,reported,30.0,reported,0.0,reported,70.0,reported,30.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,40.0,reported,10.0,reported,1.0,imputed,,missing,1.0,reported
Rattus norvegicus,RANO,True,280.0,reported,3.484,reported,1.0,reported,3.0,reported,0.003,reported,,missing,3.0,reported,30.0,reported,0.0,reported,70.0,reported,30.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,40.0,reported,10.0,reported,1.0,reported,,missing,1.0,reported
Rattus rattus,RARA,True,200.0,reported,0.437,reported,5.0,reported,3.0,reported,0.002,reported,1453.667,reported,2.0,reported,30.0,reported,0.0,reported,70.0,reported,30.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,20.0,reported,0.0,reported,40.0,reported,10.0,reported,2.0,reported,,missing,1.0,reported
Reithrodontomys fulvescens,REFU,True,12.5,reported,0.095,reported,2.0,reported,2.0,reported,0.001,reported,1200.0,reported,2.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,50.0,reported,2.0,reported,1.5,reported,1.0,reported
Reithrodontomys humulis,REHU,True,9.275,reported,0.081,reported,3.0,reported,2.0,reported,0.003,reported,326.97,reported,2.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,50.0,reported,2.0,reported,1.0,reported,1.0,reported
Reithrodontomys megalotis,REME,True,10.72,reported,0.087,reported,5.0,reported,2.0,reported,0.001,reported,764.818,reported,2.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,50.0,reported,2.0,reported,1.0,reported,1.0,reported
Reithrodontomys montanus,REMO,True,9.95,reported,0.084,reported,2.0,reported,2.0,reported,0.002,reported,300.58,reported,2.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,50.0,reported,2.0,reported,1.0,reported,1.0,reported
Reithrodontomys raviventris,RERA,True,11.0,reported,0.089,reported,2.0,reported,2.0,reported,0.002,reported,,missing,1.0,reported,0.0,reported,0.0,reported,100.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,50.0,reported,2.0,reported,1.0,reported,1.0,reported
Sigmodon arizonae,SIAR,True,172.3,reported,0.403,reported,1.0,reported,2.0,reported,,missing,,missing,2.0,reported,50.0,reported,0.0,reported,50.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,1.0,imputed,,missing,2.0,reported
Sigmodon fulviventer,SIFU,True,195.94,reported,0.432,reported,3.0,reported,2.0,reported,,missing,1293.22,reported,2.0,reported,50.0,reported,0.0,reported,50.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,1.0,reported,,missing,2.0,reported
Sigmodon hispidus,SIHI,True,159.6,reported,0.386,reported,2.0,reported,2.0,reported,0.002,reported,5626.071,reported,2.0,reported,50.0,reported,0.0,reported,50.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,1.0,imputed,1.0,reported,2.0,reported
Sigmodon ochrognathus,SIOC,True,145.85,reported,0.368,reported,2.0,reported,2.0,reported,0.002,reported,,missing,1.0,reported,50.0,reported,0.0,reported,50.0,reported,50.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,50.0,reported,1.0,imputed,,missing,2.0,reported
Synaptomys borealis,SYBO,True,21.3,reported,0.128,reported,4.0,reported,2.0,reported,,missing,,missing,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Synaptomys cooperi,SYCO,True,32.53,reported,0.161,reported,4.0,reported,2.0,reported,0.001,reported,1144.96,reported,1.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,80.0,reported,1.0,imputed,,missing,2.0,reported
Zapus hudsonius,ZAHU,True,23.8,reported,0.136,reported,3.0,reported,2.0,reported,0.002,reported,882.0,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,0.0,reported,70.0,reported,0.0,reported,1.0,reported,1.0,reported,1.0,reported
Zapus luteus,ZALU,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Zapus montanus,ZAMO,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Zapus oregonus,ZAOR,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Zapus pacificus,ZAPA,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Zapus princeps,ZAPR,True,27.975,reported,0.148,reported,1.0,reported,2.0,reported,0.002,reported,292.3,reported,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,0.0,reported,70.0,reported,0.0,reported,1.0,imputed,,missing,1.0,reported
Zapus saltator,ZASA,False,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Zapus trinotatus,ZATR,True,27.325,reported,0.146,reported,3.0,reported,2.0,reported,,missing,,missing,2.0,reported,20.0,reported,0.0,reported,80.0,reported,20.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,0.0,reported,10.0,reported,0.0,reported,70.0,reported,0.0,reported,1.0,imputed,,missing,1.0,reported
